id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
88,5060,2576,1066,44,128,2578.125,1159.125,0.9454172849655151,0.9651275873184204,0,0,3000,2248
89,3331,2356,2166,43,81,2390.625,2212.875,0.9447948336601257,0.9768614768981934,0,0,3000,2248
90,6265,2745,0,63,111,2765.625,35.125,0.9447230100631714,0.9782437086105347,0,0,3000,2248
91,9051,2892,672,76,132,2953.125,737.625,0.9444905519485474,0.9752561450004578,0,0,3000,2248
92,3174,2170,545,50,68,2203.125,597.125,0.9444829225540161,0.9843603372573853,0,0,3000,2248
93,3656,2103,1917,34,115,2109.375,1931.875,0.944101095199585,0.9672130942344666,0,0,3000,2248
94,10503,1597,1926,51,225,1640.625,2072.375,0.943776547908783,0.9755294322967529,0,0,3000,2248
95,5106,2358,1800,43,128,2390.625,1861.625,0.9435977339744568,0.9773387312889099,0,0,3000,2248
96,3335,2454,1811,32,116,2484.375,1861.625,0.9435542225837708,0.9736608266830444,0,0,3000,2248
97,3853,1980,1911,35,122,2015.625,1931.875,0.9429864883422852,0.9771619439125061,0,0,3000,2248
98,5746,2815,545,49,130,2859.375,597.125,0.942899763584137,0.9716543555259705,0,0,3000,2248
99,2818,2185,0,46,65,2203.125,35.125,0.9418802261352539,0.9848698377609253,0,0,3000,2248
100,10952,2345,17,45,275,2390.625,105.375,0.9416327476501465,0.9583669304847717,0,0,3000,2248
101,2566,2176,610,43,64,2203.125,667.375,0.9415906071662903,0.9692071080207825,0,0,3000,2248
